Query	Hit	Identity	Length	Mismatch	Gap	Q.start	Q.end	Hit.start	Hit.end	E-value	Score
B1-1	NG_005905	100	473	0	0	8	480	94196	93724	0	938
B1-10	NG_005905	100	795	0	0	12	806	123525	124319	0	1576
B1-11	NG_005905	100	633	0	0	7	639	124215	124847	0	1255
B1-12	NG_005905	100	730	0	0	7	736	125513	124784	0	1447
B1-13	NG_005905	100	706	0	0	9	714	126036	125331	0	1400
B1-14	NG_005905	100	746	0	0	21	766	125987	126732	0	1479
B1-15	NG_005905	100	363	0	0	10	372	126804	127166	0	720
B1-16	NG_005905	100	543	0	0	14	556	135774	135232	0	1076
B1-17	NG_005905	100	412	0	0	20	431	141203	141614	0	817
B1-18	NG_005905	100	493	0	0	9	501	143804	143312	0	977
B1-19	NG_005905	100	573	0	0	8	580	147174	146602	0	1136
B1-2	NG_005905	100	328	0	0	23	350	102405	102078	0	650
B1-20	NG_005905	100	175	0	0	22	196	150415	150241	2.00E-97	347
B1-21	NG_005905	100	248	0	0	3	250	153972	154219	5.00E-141	492
B1-22	NG_005905	99.13	229	0	1	2	228	154542	154770	4.00E-123	432
B1-23	NG_005905	99.73	364	0	1	1	364	160804	161166	0	706
B1-24	NG_005905	100	343	0	0	21	363	166682	167024	0	680
B1-25	NG_005905	100	327	0	0	23	349	169006	168680	0	648
B1-3	NG_005905	100	370	0	0	19	388	111339	111708	0	733
B1-4	NG_005905	100	362	0	0	16	377	112921	113282	0	718
B1-6	NG_005905	99.76	412	1	0	1	412	117968	118379	0	809
B1-7	NG_005905	100	297	0	0	22	318	120866	120570	4.00E-170	589
B1-8	NG_005905	100	360	0	0	8	367	122242	121883	0	714
B1-9	NG_005905	100	522	0	0	9	530	123024	123545	0	1035
B2-1	NG_012772	100	310	0	0	3	312	5906	6215	7.00E-178	615
B2-10	NG_012772	100	618	0	0	3	620	25692	26309	0	1225
B2-11	NG_012772	100	707	0	0	20	726	26199	26905	0	1402
B2-12	NG_012772	100	686	0	0	8	693	27529	26844	0	1360
B2-13	NG_012772	100	733	0	0	4	736	27443	28175	0	1453
B2-14	NG_012772	99.85	672	1	0	8	679	28716	28045	0	1324
B2-15	NG_012772	100	684	0	0	8	691	29318	28635	0	1356
B2-16	NG_012772	100	690	0	0	8	697	29263	29952	0	1368
B2-17	NG_012772	99.86	698	1	0	7	704	30498	29801	0	1376
B2-18	NG_012772	100	452	0	0	14	465	30413	30864	0	896
B2-19	NG_012772	100	419	0	0	15	433	34294	33876	0	831
B2-2	NG_012772	100	533	0	0	8	540	8965	8433	0	1057
B2-21	NG_012772	100	679	0	0	8	686	44910	44232	0	1346
B2-22	NG_012772	100	282	0	0	18	299	46173	45892	3.00E-161	559
B2-23	NG_012772	100	355	0	0	10	364	47165	47519	0	704
B2-24	NG_012772	100	532	0	0	8	539	52376	51845	0	1055
B2-25	NG_012772	100	678	0	0	7	684	53238	52561	0	1344
B2-26	NG_012772	100	337	0	0	23	359	60161	59825	0	668
B2-27	NG_012772	100	499	0	0	11	509	60303	60801	0	989
B2-29	NG_012772	99.76	414	1	0	6	419	68669	69082	0	813
B2-3	NG_012772	99.49	390	1	1	1	389	14433	14822	0	749
B2-30	NG_012772	100	480	0	0	10	489	69148	69627	0	952
B2-31	NG_012772	100	393	0	0	10	402	69814	69422	0	779
B2-32	NG_012772	100	553	0	0	1	553	84081	84633	0	1096
B2-33	NG_012772	100	483	0	0	7	489	86283	86765	0	957
B2-34	NG_012772	100	593	0	0	9	601	88155	87563	0	1176
B2-35	NG_012772	100	281	0	0	5	285	88169	88449	1.00E-160	557
B2-4	NG_012772	100	411	0	0	3	413	15835	15425	0	815
B2-5	NG_012772	100	414	0	0	39	452	15922	16335	0	821
B2-6	NG_012772	100	400	0	0	10	409	18791	19190	0	793
B2-8	NG_012772	99.83	575	1	0	8	582	21650	22224	0	1132
B2-9	NG_012772	100	699	0	0	1	699	22233	22931	0	1386
