Query			Hit	Identity	Length	Mismatch	Gap	Q.start	Q.end	Hit.start	Hit.end	E-value	Score	Exon.ID	Exon.start	Exon.end	Upstream	Downstream
B1-1	B1	1	NG_005905	100	473	0	0	8	480	94196	93724	0	938	2	93888	93967	164	229
B1-2	B1	2	NG_005905	100	328	0	0	23	350	102405	102078	0	650	3	102205	102258	127	147
B1-3	B1	3	NG_005905	100	370	0	0	19	388	111339	111708	0	733	5	111451	111528	112	180
B1-4	B1	4	NG_005905	100	362	0	0	16	377	112921	113282	0	718	6	113028	113116	107	166
B1-6	B1	6	NG_005905	99.76	412	1	0	1	412	117968	118379	0	809	8	118104	118209	136	170
B1-7	B1	7	NG_005905	100	297	0	0	22	318	120866	120570	4.00E-170	589	9	120695	120740	125	126
B1-8	B1	8	NG_005905	100	360	0	0	8	367	122242	121883	0	714	10	122062	122138	179	104
B1-9	B1	9	NG_005905	100	522	0	0	9	530	123024	123545	0	1035	11	123124	126549	100	-3004
B1-10	B1	10	NG_005905	100	795	0	0	12	806	123525	124319	0	1576	11	123124	126549	-401	-2230
B1-11	B1	11	NG_005905	100	633	0	0	7	639	124215	124847	0	1255	11	123124	126549	-1091	-1702
B1-12	B1	12	NG_005905	100	730	0	0	7	736	125513	124784	0	1447	11	123124	126549	-1660	-1036
B1-13	B1	13	NG_005905	100	706	0	0	9	714	126036	125331	0	1400	11	123124	126549	-2207	-513
B1-14	B1	14	NG_005905	100	746	0	0	21	766	125987	126732	0	1479	11	123124	126549	-2863	183
B1-15	B1	15	NG_005905	100	363	0	0	10	372	126804	127166	0	720	12	126952	127040	148	126
B1-16	B1	16	NG_005905	100	543	0	0	14	556	135774	135232	0	1076	13	135409	135580	177	194
B1-17	B1	17	NG_005905	100	412	0	0	20	431	141203	141614	0	817	14	141370	141496	167	118
B1-18	B1	18	NG_005905	100	493	0	0	9	501	143804	143312	0	977	15	143463	143653	151	151
B1-19	B1	19	NG_005905	100	573	0	0	8	580	147174	146602	0	1136	16	146746	147056	144	118
B1-20	B1	20	NG_005905	100	175	0	0	22	196	150415	150241	2.00E-97	347	17	150289	150376	48	39
B1-21	B1	21	NG_005905	100	248	0	0	3	250	153972	154219	5.00E-141	492	18	154033	154110	61	109
B1-22	B1	22	NG_005905	99.13	229	0	1	2	228	154542	154770	4.00E-123	432	19	154611	154651	69	119
B1-23	B1	23	NG_005905	99.73	364	0	1	1	364	160804	161166	0	706	20	160849	160932	45	234
B1-24	B1	24	NG_005905	100	343	0	0	21	363	166682	167024	0	680	21	166867	166921	185	103
B1-25	B1	25	NG_005905	100	327	0	0	23	349	169006	168680	0	648	22	168790	168863	110	143
B2-1	B2	1	NG_012772	100	310	0	0	3	312	5906	6215	7.00E-178	615	2	5982	6048	76	167
B2-2	B2	2	NG_012772	100	533	0	0	8	540	8965	8433	0	1057	3	8598	8846	165	119
B2-3	B2	3	NG_012772	99.49	390	1	1	1	389	14433	14822	0	749	4	14597	14705	164	117
B2-4	B2	4	NG_012772	100	411	0	0	3	413	15835	15425	0	815	5	15622	15803	197	32
B2-5	B2	5	NG_012772	100	414	0	0	39	452	15922	16335	0	821	7	16020	16134	98	201
B2-6	B2	6	NG_012772	100	400	0	0	10	409	18791	19190	0	793	8	18964	19013	173	177
B2-8	B2	8	NG_012772	99.83	575	1	0	8	582	21650	22224	0	1132	10	21793	22908	143	-684
B2-9	B2	9	NG_012772	100	699	0	0	1	699	22233	22931	0	1386	10	21793	22908	-440	23
B2-10	B2	10	NG_012772	100	618	0	0	3	620	25692	26309	0	1225	11	25786	30717	94	-4408
B2-11	B2	11	NG_012772	100	707	0	0	20	726	26199	26905	0	1402	11	25786	30717	-413	-3812
B2-12	B2	12	NG_012772	100	686	0	0	8	693	27529	26844	0	1360	11	25786	30717	-1058	-3188
B2-13	B2	13	NG_012772	100	733	0	0	4	736	27443	28175	0	1453	11	25786	30717	-1657	-2542
B2-14	B2	14	NG_012772	99.85	672	1	0	8	679	28716	28045	0	1324	11	25786	30717	-2259	-2001
B2-15	B2	15	NG_012772	100	684	0	0	8	691	29318	28635	0	1356	11	25786	30717	-2849	-1399
B2-16	B2	16	NG_012772	100	690	0	0	8	697	29263	29952	0	1368	11	25786	30717	-3477	-765
B2-17	B2	17	NG_012772	99.86	698	1	0	7	704	30498	29801	0	1376	11	25786	30717	-4015	-219
B2-18	B2	18	NG_012772	100	452	0	0	14	465	30413	30864	0	896	11	25786	30717	-4627	147
B2-19	B2	19	NG_012772	100	419	0	0	15	433	34294	33876	0	831	12	34079	34174	203	120
B2-21	B2	21	NG_012772	100	679	0	0	8	686	44910	44232	0	1346	14	44382	44809	150	101
B2-22	B2	22	NG_012772	100	282	0	0	18	299	46173	45892	3.00E-161	559	15	45949	46130	57	43
B2-23	B2	23	NG_012772	100	355	0	0	10	364	47165	47519	0	704	16	47263	47450	98	69
B2-24	B2	24	NG_012772	100	532	0	0	8	539	52376	51845	0	1055	17	52044	52214	199	162
B2-25	B2	25	NG_012772	100	678	0	0	7	684	53238	52561	0	1344	18	52700	53054	139	184
B2-26	B2	26	NG_012772	100	337	0	0	23	359	60161	59825	0	668	19	59923	60078	98	83
B2-27	B2	27	NG_012772	100	499	0	0	11	509	60303	60801	0	989	20	60477	60621	174	180
B2-29	B2	29	NG_012772	99.76	414	1	0	6	419	68669	69082	0	813	22	68838	69036	169	46
B2-30	B2	30	NG_012772	100	480	0	0	10	489	69148	69627	0	952	23	69271	69434	123	193
B2-31	B2	31	NG_012772	100	393	0	0	10	402	69814	69422	0	779	24	69528	69666	106	148
B2-32	B2	32	NG_012772	100	553	0	0	1	553	84081	84633	0	1096	25	84210	84454	129	179
B2-33	B2	33	NG_012772	100	483	0	0	7	489	86283	86765	0	957	26	86419	86565	136	200
B2-34	B2	34	NG_012772	100	593	0	0	9	601	88155	87563	0	1176	27	87683	88291	120	-136
B2-35	B2	35	NG_012772	100	281	0	0	5	285	88169	88449	1.00E-160	557	27	87683	88291	-486	158
